10  10
  -1750 59 -1750
 -1600 59 -1750
 -1450 59 -1750
 -1300 59 -1750
 -1150 59 -1750
  0.0 59 -1750
 1150 59 -1750
 1300  59 -1750
 1450  59 -1750
 1600  59 -1750

 -1750 59 -1600
 -1600 59 -1600
 -1450 59 -1600
 -1300 59 -1600
 -1150 59 -1600
  0.0 59 -1600
 1150 59 -1600
 1300 59 -1600
 1450 59 -1600
 1600 59 -1600

 -1750 59 -1450
 -1600 59 -1450
 -1450 59 -1450
 -1300 59 -1450
 -1150 59 -1450
  0.0 59 -1450
 150 59 -1450
 1300 95 -1450
 1450 95 -1450
 1600 59 -1450

 -1750 59 -1300
 -1600 59 -1300
 -1450 59 -1300
 -1300 59 -1300
 -1150 59 -1300
  0.0 59 -1300
 1150 59 -1300
 1300 59 -1300
 1450 59 -1300
 1600 59 -1300
 
 -1750 0.0 -1150
 -1600 59 -1150
 -1450 95 -1150
 -1300 95 -1150
 -1150 59 -1150
  0.0 0 -1150
 1150 -59 -1150
 1300 -95 -1150
 1450 -95 -1150
 1600 -59 -1150

 -1750 0.0 0
 -1600 59  0
 -1450 95  0
 -1300 95  0
 -1150 59  0 
  0.0 0  0 
 1150 -59 0
 1300 -95 0
 1450 -95 0
 1600 -59 0

 -1750 0.0 1150 
 -1600 59  1150 
 -1450 95  1150 
 -1300 95  1150 
 -1150 59  1150 
  0.0 0   1150 
 1150 -59 1150
 1300 -95 1150
 1450 -95 1150
 1600 -59 1150
 
 -1750 0.0 1300 
 -1600 59 1300 
 -1450 95 1300 
 -1300 95 1300 
 -1150 59 1300 
  0.0 0  1300 
 1150 -59 1300
 1300 -95 1300
 1450 -95 1300
 1600 -59 1300
 
 -1750 0.0 1450 
 -1600 59 1450 
 -1450 95 1450 
 -1300 95 1450 
 -1150 59 1450 
  0.0 0 1450 
 1150 -59 1450
 1300 -95 1450
 1450 -95 1450
 1600 -59 1450
 
 -1750 0.0 1600 
 -1600 59 1600 
 -1450 95 1600 
 -1300 95 1600 
 -1150 59 1600 
  0.0 0 1600 
 1150 -59 1600
 1300 -95 1600
 1450 -95 1600
 1600 -59 1600
